sample_id,gallery_view,method,rule,attribution
s006_v000_1,90,rule_removal,R1,0.4821026176214218
s006_v000_1,90,rule_removal,R2,-0.2985677719116211
s006_v000_1,90,rule_removal,R3,-9.638071060180664e-05
s006_v000_1,90,rule_removal,R4,-0.0014939308166503906
s006_v000_1,90,rule_removal,R5,0.0021965503692626953
s006_v000_1,90,rule_removal,R6,0.0015064477920532227
s006_v000_1,90,rule_removal,R7,0.0005807876586914062
s006_v000_1,90,rule_removal,R8,-2.682209014892578e-06
s006_v000_1,90,integrated_gradients,R1,0.5467082858085632
s006_v000_1,90,integrated_gradients,R2,-0.517961859703064
s006_v000_1,90,integrated_gradients,R3,-0.00012526371574494988
s006_v000_1,90,integrated_gradients,R4,-0.00171972147654742
s006_v000_1,90,integrated_gradients,R5,0.0024230540730059147
s006_v000_1,90,integrated_gradients,R6,0.0016903100768104196
s006_v000_1,90,integrated_gradients,R7,0.0007097244379110634
s006_v000_1,90,integrated_gradients,R8,-2.5157653453788953e-06
s006_v000_1,90,exact_shapley,R1,0.4053052900126204
s006_v000_1,90,exact_shapley,R2,-0.3759390041232109
s006_v000_1,90,exact_shapley,R3,-0.00010030434789420895
s006_v000_1,90,exact_shapley,R4,-0.001324333860338811
s006_v000_1,90,exact_shapley,R5,0.0018439772318288306
s006_v000_1,90,exact_shapley,R6,0.0013507171451010436
s006_v000_1,90,exact_shapley,R7,0.0005845535642166055
s006_v000_1,90,exact_shapley,R8,-2.550049909566532e-07
s006_v090_1,0,rule_removal,R1,0.08725935220718384
s006_v090_1,0,rule_removal,R2,-0.01446002721786499
s006_v090_1,0,rule_removal,R3,7.510185241699219e-06
s006_v090_1,0,rule_removal,R4,3.898143768310547e-05
s006_v090_1,0,rule_removal,R5,0.0003286004066467285
s006_v090_1,0,rule_removal,R6,0.0008213520050048828
s006_v090_1,0,rule_removal,R7,9.018182754516602e-05
s006_v090_1,0,rule_removal,R8,0.0
s006_v090_1,0,integrated_gradients,R1,0.08629342168569565
s006_v090_1,0,integrated_gradients,R2,-0.016248218715190887
s006_v090_1,0,integrated_gradients,R3,2.5574890969437547e-06
s006_v090_1,0,integrated_gradients,R4,4.385338615975343e-05
