sample_id,gallery_view,method,chosen_rule,score_drop,decision_flip,positive_effect,selection_budget,scope
s006_v000_1,90,rule_removal,R1,0.4866591542959213,1,1,1,synthetic_pipeline_validation
s006_v000_1,90,integrated_gradients,R1,0.4866591542959213,1,1,1,synthetic_pipeline_validation
s006_v000_1,90,exact_shapley,R1,0.4866591542959213,1,1,1,synthetic_pipeline_validation
s006_v090_1,0,rule_removal,R1,0.08604699373245239,0,1,1,synthetic_pipeline_validation
s006_v090_1,0,integrated_gradients,R1,0.08604699373245239,0,1,1,synthetic_pipeline_validation
s006_v090_1,0,exact_shapley,R1,0.08604699373245239,0,1,1,synthetic_pipeline_validation
s007_v000_1,90,rule_removal,R2,0.7103782445192337,1,1,1,synthetic_pipeline_validation
s007_v000_1,90,integrated_gradients,R2,0.7103782445192337,1,1,1,synthetic_pipeline_validation
s007_v000_1,90,exact_shapley,R2,0.7103782445192337,1,1,1,synthetic_pipeline_validation
s007_v090_1,0,rule_removal,R2,0.16318011283874512,1,1,1,synthetic_pipeline_validation
s007_v090_1,0,integrated_gradients,R2,0.16318011283874512,1,1,1,synthetic_pipeline_validation
s007_v090_1,0,exact_shapley,R2,0.16318011283874512,1,1,1,synthetic_pipeline_validation
