sample_id,gallery_view,method,rule,attribution
s006_v000_1,90,rule_removal,R1,0.4866591542959213
s006_v000_1,90,rule_removal,R2,-0.30555593967437744
s006_v000_1,90,rule_removal,R3,-0.00012564659118652344
s006_v000_1,90,rule_removal,R4,0.0014711618423461914
s006_v000_1,90,rule_removal,R5,-0.0025826096534729004
s006_v000_1,90,rule_removal,R6,0.0011925101280212402
s006_v000_1,90,rule_removal,R7,0.0005806088447570801
s006_v000_1,90,rule_removal,R8,-9.137392044067383e-05
s006_v000_1,90,integrated_gradients,R1,0.5261057019233704
s006_v000_1,90,integrated_gradients,R2,-0.5424051284790039
s006_v000_1,90,integrated_gradients,R3,-0.00014280264440458268
s006_v000_1,90,integrated_gradients,R4,0.0017272059340029955
s006_v000_1,90,integrated_gradients,R5,-0.0029238651040941477
s006_v000_1,90,integrated_gradients,R6,0.0014428594149649143
s006_v000_1,90,integrated_gradients,R7,0.0006600350607186556
s006_v000_1,90,integrated_gradients,R8,-0.00010413631389383227
s006_v000_1,90,exact_shapley,R1,0.3877157154493034
s006_v000_1,90,exact_shapley,R2,-0.4037303465884179
s006_v000_1,90,exact_shapley,R3,-0.00010149958016736349
s006_v000_1,90,exact_shapley,R4,0.0013182315984749948
s006_v000_1,90,exact_shapley,R5,-0.0023115806654914195
s006_v000_1,90,exact_shapley,R6,0.0011011527224127349
s006_v000_1,90,exact_shapley,R7,0.00044406394169982377
s006_v000_1,90,exact_shapley,R8,-8.29088917448928e-05
s006_v090_1,0,rule_removal,R1,0.08604699373245239
s006_v090_1,0,rule_removal,R2,-0.015288949012756348
s006_v090_1,0,rule_removal,R3,-2.9087066650390625e-05
s006_v090_1,0,rule_removal,R4,0.0001304149627685547
s006_v090_1,0,rule_removal,R5,-0.0003527402877807617
s006_v090_1,0,rule_removal,R6,0.000770270824432373
s006_v090_1,0,rule_removal,R7,0.00011461973190307617
s006_v090_1,0,rule_removal,R8,-1.5497207641601562e-06
s006_v090_1,0,integrated_gradients,R1,0.08430521935224533
s006_v090_1,0,integrated_gradients,R2,-0.017551612108945847
s006_v090_1,0,integrated_gradients,R3,-2.7345771741238423e-05
s006_v090_1,0,integrated_gradients,R4,0.00015220946806948632
s006_v090_1,0,integrated_gradients,R5,-0.0004408106324262917
s006_v090_1,0,integrated_gradients,R6,0.0008727792883291841
s006_v090_1,0,integrated_gradients,R7,0.00012254834291525185
s006_v090_1,0,integrated_gradients,R8,-1.0441061704113963e-06
s006_v090_1,0,exact_shapley,R1,0.08404895954299718
s006_v090_1,0,exact_shapley,R2,-0.01726087529459619
s006_v090_1,0,exact_shapley,R3,-2.6229095446694828e-05
s006_v090_1,0,exact_shapley,R4,0.00014900444764975873
s006_v090_1,0,exact_shapley,R5,-0.0004450895319223491
s006_v090_1,0,exact_shapley,R6,0.0008490018358315865
s006_v090_1,0,exact_shapley,R7,0.0001189635642617759
s006_v090_1,0,exact_shapley,R8,-1.1520016993116222e-06
s007_v000_1,90,rule_removal,R1,-0.048939645290374756
s007_v000_1,90,rule_removal,R2,0.7103782445192337
s007_v000_1,90,rule_removal,R3,-3.230571746826172e-05
s007_v000_1,90,rule_removal,R4,-0.010061502456665039
s007_v000_1,90,rule_removal,R5,0.00016099214553833008
s007_v000_1,90,rule_removal,R6,-0.0010477304458618164
s007_v000_1,90,rule_removal,R7,0.0001214146614074707
s007_v000_1,90,rule_removal,R8,7.462501525878906e-05
s007_v000_1,90,integrated_gradients,R1,-0.14341752231121063
s007_v000_1,90,integrated_gradients,R2,0.7159971594810486
s007_v000_1,90,integrated_gradients,R3,0.00020378553017508239
s007_v000_1,90,integrated_gradients,R4,-0.02501547522842884
s007_v000_1,90,integrated_gradients,R5,0.00033205028739757836
s007_v000_1,90,integrated_gradients,R6,-0.0029242397285997868
s007_v000_1,90,integrated_gradients,R7,-0.005661989562213421
s007_v000_1,90,integrated_gradients,R8,0.0001777628349373117
s007_v000_1,90,exact_shapley,R1,-0.0956965550140012
s007_v000_1,90,exact_shapley,R2,0.6556918055284768
s007_v000_1,90,exact_shapley,R3,0.00021780997563780602
s007_v000_1,90,exact_shapley,R4,-0.015292739681171952
s007_v000_1,90,exact_shapley,R5,0.00019953604240185996
s007_v000_1,90,exact_shapley,R6,-0.002449758756938536
s007_v000_1,90,exact_shapley,R7,-0.002990780218269151
s007_v000_1,90,exact_shapley,R8,0.00011775960375359773
s007_v090_1,0,rule_removal,R1,-0.09270346164703369
s007_v090_1,0,rule_removal,R2,0.16318011283874512
s007_v090_1,0,rule_removal,R3,0.00023031234741210938
s007_v090_1,0,rule_removal,R4,-0.013752460479736328
s007_v090_1,0,rule_removal,R5,0.0007026195526123047
s007_v090_1,0,rule_removal,R6,-0.006944179534912109
s007_v090_1,0,rule_removal,R7,-0.009217977523803711
s007_v090_1,0,rule_removal,R8,0.00023293495178222656
s007_v090_1,0,integrated_gradients,R1,-0.09968617558479309
s007_v090_1,0,integrated_gradients,R2,0.18669474124908447
s007_v090_1,0,integrated_gradients,R3,0.0003377420944161713
s007_v090_1,0,integrated_gradients,R4,-0.016988465562462807
s007_v090_1,0,integrated_gradients,R5,0.0008368845446966588
s007_v090_1,0,integrated_gradients,R6,-0.008817431516945362
s007_v090_1,0,integrated_gradients,R7,-0.01216042134910822
s007_v090_1,0,integrated_gradients,R8,0.00027376229991205037
s007_v090_1,0,exact_shapley,R1,-0.08754008891992271
s007_v090_1,0,exact_shapley,R2,0.1703204608638771
s007_v090_1,0,exact_shapley,R3,0.000296489259664412
s007_v090_1,0,exact_shapley,R4,-0.014913869101292221
s007_v090_1,0,exact_shapley,R5,0.0007314928333244097
s007_v090_1,0,exact_shapley,R6,-0.008040415817959001
s007_v090_1,0,exact_shapley,R7,-0.010591618181933882
s007_v090_1,0,exact_shapley,R8,0.00023567747828678876
