sample_id,gallery_view,rule,weighted_activation,original_predicted_id,original_score,intervened_score,score_drop,decision_flip,scope
s006_v000_1,90,R1,0.6378028988838196,007,0.6057660579681396,0.15334093570709229,0.45242512226104736,1,synthetic_pipeline_validation
s006_v000_1,90,R2,0.5232802629470825,007,0.6057660579681396,0.9148650169372559,-0.3090989589691162,0,synthetic_pipeline_validation
s006_v000_1,90,R3,0.00249296217225492,007,0.6057660579681396,0.6058527827262878,-8.672475814819336e-05,0,synthetic_pipeline_validation
s006_v000_1,90,R4,0.0164091344922781,007,0.6057660579681396,0.6058441400527954,-7.808208465576172e-05,0,synthetic_pipeline_validation
s006_v000_1,90,R5,0.05337369814515114,007,0.6057660579681396,0.6044928431510925,0.0012732148170471191,0,synthetic_pipeline_validation
s006_v000_1,90,R6,0.020000357180833817,007,0.6057660579681396,0.6045209169387817,0.0012451410293579102,0,synthetic_pipeline_validation
s006_v000_1,90,R7,0.0164091344922781,007,0.6057660579681396,0.606111466884613,-0.00034540891647338867,0,synthetic_pipeline_validation
s006_v000_1,90,R8,0.0009219117346219718,007,0.6057660579681396,0.6059088110923767,-0.00014275312423706055,0,synthetic_pipeline_validation
s006_v090_1,0,R1,0.5894635915756226,007,0.6009769439697266,0.5141551494598389,0.0868217945098877,0,synthetic_pipeline_validation
s006_v090_1,0,R2,0.07721759378910065,007,0.6009769439697266,0.6152840256690979,-0.014307081699371338,0,synthetic_pipeline_validation
s006_v090_1,0,R3,0.0012585942167788744,007,0.6009769439697266,0.6009892821311951,-1.233816146850586e-05,0,synthetic_pipeline_validation
s006_v090_1,0,R4,0.0024214056320488453,007,0.6009769439697266,0.6008975505828857,7.939338684082031e-05,0,synthetic_pipeline_validation
s006_v090_1,0,R5,0.024903926998376846,007,0.6009769439697266,0.6007919311523438,0.0001850128173828125,0,synthetic_pipeline_validation
s006_v090_1,0,R6,0.01848452351987362,007,0.6009769439697266,0.6002011895179749,0.000775754451751709,0,synthetic_pipeline_validation
s006_v090_1,0,R7,0.0024214056320488453,007,0.6009769439697266,0.600886344909668,9.059906005859375e-05,0,synthetic_pipeline_validation
s006_v090_1,0,R8,6.347632734104991e-05,007,0.6009769439697266,0.6009794473648071,-2.5033950805664062e-06,0,synthetic_pipeline_validation
s007_v000_1,90,R1,0.19100558757781982,006,0.8721227645874023,0.9220744371414185,-0.04995167255401611,0,synthetic_pipeline_validation
s007_v000_1,90,R2,0.8909005522727966,006,0.8721227645874023,0.3015297055244446,0.5705930590629578,1,synthetic_pipeline_validation
s007_v000_1,90,R3,0.008730445057153702,006,0.8721227645874023,0.8720143437385559,0.00010842084884643555,0,synthetic_pipeline_validation
s007_v000_1,90,R4,0.2610902786254883,006,0.8721227645874023,0.8750460743904114,-0.002923309803009033,0,synthetic_pipeline_validation
s007_v000_1,90,R5,0.005989593919366598,006,0.8721227645874023,0.8720964193344116,2.6345252990722656e-05,0,synthetic_pipeline_validation
s007_v000_1,90,R6,0.05597672984004021,006,0.8721227645874023,0.8742300271987915,-0.00210726261138916,0,synthetic_pipeline_validation
s007_v000_1,90,R7,0.2610902786254883,006,0.8721227645874023,0.8729674816131592,-0.0008447170257568359,0,synthetic_pipeline_validation
s007_v000_1,90,R8,0.0016461312770843506,006,0.8721227645874023,0.8720331192016602,8.96453857421875e-05,0,synthetic_pipeline_validation
s007_v090_1,0,R1,0.6225318908691406,007,0.5018963813781738,0.4271402359008789,0.07475614547729492,1,synthetic_pipeline_validation
s007_v090_1,0,R2,0.8477345108985901,007,0.5018963813781738,0.6365192532539368,-0.13462287187576294,0,synthetic_pipeline_validation
s007_v090_1,0,R3,0.021486343815922737,007,0.5018963813781738,0.502051830291748,-0.00015544891357421875,0,synthetic_pipeline_validation
s007_v090_1,0,R4,0.2873014509677887,007,0.5018963813781738,0.49414753913879395,0.007748842239379883,1,synthetic_pipeline_validation
s007_v090_1,0,R5,0.041545361280441284,007,0.5018963813781738,0.5018637180328369,3.266334533691406e-05,0,synthetic_pipeline_validation
s007_v090_1,0,R6,0.2109791785478592,007,0.5018963813781738,0.4941985607147217,0.0076978206634521484,1,synthetic_pipeline_validation
s007_v090_1,0,R7,0.2873014509677887,007,0.5018963813781738,0.49336376786231995,0.008532613515853882,1,synthetic_pipeline_validation
s007_v090_1,0,R8,0.01256425492465496,007,0.5018963813781738,0.502253532409668,-0.0003571510314941406,0,synthetic_pipeline_validation
