sample_id,gallery_view,method,rule,attribution
s006_v000_1,90,rule_removal,R1,0.45242512226104736
s006_v000_1,90,rule_removal,R2,-0.3090989589691162
s006_v000_1,90,rule_removal,R3,-8.672475814819336e-05
s006_v000_1,90,rule_removal,R4,-7.808208465576172e-05
s006_v000_1,90,rule_removal,R5,0.0012732148170471191
s006_v000_1,90,rule_removal,R6,0.0012451410293579102
s006_v000_1,90,rule_removal,R7,-0.00034540891647338867
s006_v000_1,90,rule_removal,R8,-0.00014275312423706055
s006_v000_1,90,integrated_gradients,R1,0.5539166331291199
s006_v000_1,90,integrated_gradients,R2,-0.4879778325557709
s006_v000_1,90,integrated_gradients,R3,-0.00010243396536679938
s006_v000_1,90,integrated_gradients,R4,-7.906264363555238e-05
s006_v000_1,90,integrated_gradients,R5,0.0014414229663088918
s006_v000_1,90,integrated_gradients,R6,0.0015026660403236747
s006_v000_1,90,integrated_gradients,R7,-0.00043356019887141883
s006_v000_1,90,integrated_gradients,R8,-0.00016955603496171534
s006_v000_1,90,exact_shapley,R1,0.41392757813446224
s006_v000_1,90,exact_shapley,R2,-0.3475203125271946
s006_v000_1,90,exact_shapley,R3,-7.888474446815508e-05
s006_v000_1,90,exact_shapley,R4,-6.205849447837863e-05
s006_v000_1,90,exact_shapley,R5,0.0010711744433393733
s006_v000_1,90,exact_shapley,R6,0.001223834535039714
s006_v000_1,90,exact_shapley,R7,-0.0003305326495421923
s006_v000_1,90,exact_shapley,R8,-0.0001325547185473397
s006_v090_1,0,rule_removal,R1,0.0868217945098877
s006_v090_1,0,rule_removal,R2,-0.014307081699371338
s006_v090_1,0,rule_removal,R3,-1.233816146850586e-05
s006_v090_1,0,rule_removal,R4,7.939338684082031e-05
s006_v090_1,0,rule_removal,R5,0.0001850128173828125
s006_v090_1,0,rule_removal,R6,0.000775754451751709
s006_v090_1,0,rule_removal,R7,9.059906005859375e-05
s006_v090_1,0,rule_removal,R8,-2.5033950805664062e-06
s006_v090_1,0,integrated_gradients,R1,0.08655949681997299
s006_v090_1,0,integrated_gradients,R2,-0.015543297864496708
s006_v090_1,0,integrated_gradients,R3,-1.3997781024954747e-05
s006_v090_1,0,integrated_gradients,R4,9.126111399382353e-05
s006_v090_1,0,integrated_gradients,R5,0.00014607192133553326
s006_v090_1,0,integrated_gradients,R6,0.0008865171112120152
s006_v090_1,0,integrated_gradients,R7,0.00010042023495770991
s006_v090_1,0,integrated_gradients,R8,-2.553098511270946e-06
s006_v090_1,0,exact_shapley,R1,0.08611580828437582
s006_v090_1,0,exact_shapley,R2,-0.015078453558089677
s006_v090_1,0,exact_shapley,R3,-1.3547923067847023e-05
s006_v090_1,0,exact_shapley,R4,8.929137828772582e-05
s006_v090_1,0,exact_shapley,R5,0.000132290027394788
s006_v090_1,0,exact_shapley,R6,0.0008837939151362662
s006_v090_1,0,exact_shapley,R7,9.940089415749753e-05
s006_v090_1,0,exact_shapley,R8,-2.4750829301645183e-06
s007_v000_1,90,rule_removal,R1,-0.04995167255401611
s007_v000_1,90,rule_removal,R2,0.5705930590629578
s007_v000_1,90,rule_removal,R3,0.00010842084884643555
s007_v000_1,90,rule_removal,R4,-0.002923309803009033
s007_v000_1,90,rule_removal,R5,2.6345252990722656e-05
s007_v000_1,90,rule_removal,R6,-0.00210726261138916
s007_v000_1,90,rule_removal,R7,-0.0008447170257568359
s007_v000_1,90,rule_removal,R8,8.96453857421875e-05
s007_v000_1,90,integrated_gradients,R1,-0.12803028523921967
s007_v000_1,90,integrated_gradients,R2,0.544095516204834
s007_v000_1,90,integrated_gradients,R3,0.00024437796673737466
s007_v000_1,90,integrated_gradients,R4,-0.0032396193128079176
s007_v000_1,90,integrated_gradients,R5,-2.9830978746758774e-05
s007_v000_1,90,integrated_gradients,R6,-0.003957231529057026
s007_v000_1,90,integrated_gradients,R7,0.0005226732464507222
s007_v000_1,90,integrated_gradients,R8,0.0002158670249627903
s007_v000_1,90,exact_shapley,R1,-0.1113500208593905
s007_v000_1,90,exact_shapley,R2,0.5193057283759117
s007_v000_1,90,exact_shapley,R3,0.00022714081700314637
s007_v000_1,90,exact_shapley,R4,0.00022787474154029042
s007_v000_1,90,exact_shapley,R5,-7.891264794324115e-05
s007_v000_1,90,exact_shapley,R6,-0.0030453932286036434
s007_v000_1,90,exact_shapley,R7,0.0043553252337460435
s007_v000_1,90,exact_shapley,R8,0.00019550969508941307
s007_v090_1,0,rule_removal,R1,0.07475614547729492
s007_v090_1,0,rule_removal,R2,-0.13462287187576294
